id,date,name,phones,email,text
0,18.12.2020 13:49,"Беринг, ООО","423 2605446
 2262068
 2262069"," tkbering@yandex.ru",
1,18.12.2020 13:49,"НБАМР, ПАО","8-914-703-27-20
 8-908-443-12-36"," mbespalov@bamr.runbamr.fishery.ru",
2,18.12.2020 13:48,"Беринг, ООО","423 2605446
 2262068
 2262069"," tkbering@yandex.ruberring.fishery.ru",
3,18.12.2020 13:47,"Провиант, ГК, ООО",89147041240," pischikmaya@mail.ru",
4,18.12.2020 13:37,"ТРК Океан, ООО",89025559197," trans_more@mail.ruvostokmore.fishery.ru",
5,18.12.2020 13:36,"ВИКТА, ООО","423 2768485
 89147068485
 2 530 185
 469848"," ooovikta@mail.ruvikta.fishery.ru",
6,18.12.2020 13:32,"Корс, ООО","423 2277311
 2012833
 2571167"," ksdv2003@yandex.rukors.fishery.ru",
7,18.12.2020 13:30,"Наджафалиев Н. Г., ИП","89146749462
 89841401992"," 11228877b@gmail.comnatig.fishery.ru","- Минтай б/г с/м S 1/22 кг 1452 кг 83р
- Филе Минтай короб с/м 1/21 кг"
8,18.12.2020 13:26,"Ирна, ТПК, ООО",89146505363," irna-nakhodka@rambler.ruirna.fishery.ru",
9,18.12.2020 13:26,"Восточный Союз, ООО","423 2251068
 2251067
 2251069
 89089925920
 89084405662"," fishgood@bk.ru
marina.p@gmvl.rufishgood.fishery.ru","- Минтай бг 20+
- Минтай бг 25+, короб 1/20"
0,18.12.2020 14:21,"КОМПАНИЯ  АЛАИД, ООО","423 249-90-70
 249-90-80
 8-914-335-30-80"," strd@inbox.rualaid.fishery.ru",
1,18.12.2020 14:20,"КОМПАНИЯ  АЛАИД, ООО","423 249-90-70
 249-90-80
 8-914-335-30-80"," strd@inbox.rualaid.fishery.ru","МИНТАЙ БГ 30 см+, ГОСТ.
МИНТАЙ БГ 25 см+, мешок 1/22. ГОСТ."
2,18.12.2020 14:18,"КОМПАНИЯ  АЛАИД, ООО","423 249-90-70
 249-90-80
 8-914-335-30-80"," strd@inbox.rualaid.fishery.ru",
3,18.12.2020 14:10,"Беринг, ООО","423 2605446
 2262068
 2262069"," tkbering@yandex.ru",
4,18.12.2020 14:07,"Смирнов О. А., ИП",89046280761," dv-smr@mail.rusmr.fishery.ru",
5,18.12.2020 14:01,"Альбатрос 1, ООО",89147334226," sm-albatros-1@mail.rualbatros1.fishery.ru",
